Index;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;IWH;IWD;IWA;WHH;WHD;WHA;VCH;VCD;VCA;Temporada
26;2005-09-18;Betis;Zaragoza;0;0;D;0;0;D;16;10;4;6;23;21;4;2;2;5;0;0;1.8;3.3;4.5;1.7;3.25;4.85;1.75;3.2;4.0;1.72;3.2;4.33;1.75;3.2;4.5;2006
27;2005-09-18;Cadiz;Villarreal;1;1;D;1;1;D;9;9;6;3;19;25;5;2;1;4;0;0;3.0;3.2;2.3;3.5;3.15;2.0;2.6;3.0;2.4;2.75;3.1;2.3;2.8;3.2;2.2;2006
28;2005-09-18;Celta;Santander;0;1;A;0;0;D;15;12;2;5;15;28;6;3;1;7;0;0;1.8;3.4;4.5;1.8;3.25;4.15;1.85;3.1;3.6;1.72;3.2;4.33;1.7;3.25;4.5;2006
29;2005-09-18;Espanol;Real Madrid;1;0;H;0;0;D;13;28;2;5;16;16;4;8;2;2;0;2;4.0;3.3;1.9;4.15;3.2;1.8;3.5;3.1;1.9;3.75;3.3;1.8;3.6;3.4;1.84;2006
30;2005-09-18;Osasuna;Sevilla;1;0;H;0;0;D;10;15;5;2;21;26;1;7;3;4;1;1;2.5;3.2;2.75;2.7;3.0;2.5;2.4;3.0;2.6;2.37;3.1;2.62;2.4;3.25;2.5;2006
31;2005-09-21;Barcelona;Valencia;2;2;D;1;0;H;10;5;5;4;30;25;7;0;3;2;0;0;1.57;3.6;6.0;1.5;3.6;6.25;1.55;3.5;4.8;1.61;3.3;5.0;1.5;3.5;6.0;2006
32;2005-09-21;Getafe;Mallorca;1;1;D;1;0;H;16;12;5;3;24;17;3;4;3;2;0;0;1.9;3.25;4.0;1.8;3.4;3.95;1.9;3.1;3.5;1.9;3.25;3.4;1.85;3.25;3.75;2006
33;2005-09-21;La Coruna;Betis;1;1;D;1;1;D;17;11;6;3;21;19;5;1;5;5;0;0;2.0;3.3;3.5;2.0;3.15;3.5;2.0;3.1;3.2;1.95;3.1;3.5;2.0;3.1;3.4;2006
34;2005-09-21;Malaga;Alaves;0;0;D;0;0;D;13;6;4;1;25;14;4;5;2;2;1;0;1.83;3.3;4.33;2.0;3.15;3.5;1.9;3.1;3.5;1.72;3.3;4.2;1.85;3.25;3.75;2006
35;2005-09-21;Santander;Espanol;1;0;H;0;0;D;13;11;7;3;19;19;7;4;3;5;0;1;2.3;3.25;2.87;2.4;3.05;2.8;2.4;3.0;2.6;2.3;3.2;2.62;2.4;3.1;2.6;2006
36;2005-09-21;Sevilla;Cadiz;0;0;D;0;0;D;25;3;4;1;20;17;14;6;3;6;0;0;1.57;3.6;6.0;1.55;3.5;5.75;1.6;3.4;4.6;1.5;3.4;6.0;1.55;3.3;5.5;2006
